year_month,province,monthly_rainfall_mm
2021-10,Mashonaland Central,10.81616033
2021-11,Mashonaland Central,88.9283144
2021-12,Mashonaland Central,69.0328316
2022-01,Mashonaland Central,433.572121
2022-02,Mashonaland Central,70.9966469
2022-03,Mashonaland Central,62.633864
2022-04,Mashonaland Central,65.3762915
2022-05,Mashonaland Central,2.75092477
2022-06,Mashonaland Central,2.160427386
2022-07,Mashonaland Central,0.571564926
2022-08,Mashonaland Central,0.84167261
2022-09,Mashonaland Central,1.76722243
2022-10,Mashonaland Central,9.65528761
2022-11,Mashonaland Central,120.0174404
2022-12,Mashonaland Central,124.7899125
2023-01,Mashonaland Central,226.602843
2023-02,Mashonaland Central,172.405941
2023-03,Mashonaland Central,124.804032
2023-04,Mashonaland Central,13.0818586
2023-05,Mashonaland Central,2.62898831
2023-06,Mashonaland Central,1.392283852
2023-07,Mashonaland Central,0.529334336
2023-08,Mashonaland Central,0.998148278
2023-09,Mashonaland Central,1.725038106
2023-10,Mashonaland Central,58.0880016
2023-11,Mashonaland Central,16.35480675
2023-12,Mashonaland Central,176.248515
2024-01,Mashonaland Central,162.753372
2024-02,Mashonaland Central,33.8584457
2024-03,Mashonaland Central,25.7984229
2024-04,Mashonaland Central,27.4762483
2024-05,Mashonaland Central,2.97906932
2024-06,Mashonaland Central,2.565734903
2024-07,Mashonaland Central,0.534958581
2024-08,Mashonaland Central,1.139222844
2024-09,Mashonaland Central,1.75466666
2024-10,Mashonaland Central,14.6451145
2024-11,Mashonaland Central,79.2581029
2024-12,Mashonaland Central,90.656785
2025-01,Mashonaland Central,248.897928
2025-02,Mashonaland Central,187.565349
2025-03,Mashonaland Central,46.4244128
2025-04,Mashonaland Central,85.1730807
2025-05,Mashonaland Central,5.21305978
2025-06,Mashonaland Central,1.546869395
2025-07,Mashonaland Central,0.508712756
2025-08,Mashonaland Central,0.945597075
2025-09,Mashonaland Central,1.77347567
2025-10,Mashonaland Central,4.45929478
2025-11,Mashonaland Central,102.1508565
2025-12,Mashonaland Central,222.561767
2020-01,Mashonaland East,231.9079233
2020-02,Mashonaland East,157.6831775
2020-03,Mashonaland East,29.29154925
2020-04,Mashonaland East,30.64104242
2020-05,Mashonaland East,4.396411925
2020-06,Mashonaland East,3.8261965
2020-07,Mashonaland East,1.40031899
2020-08,Mashonaland East,1.906882709
2020-09,Mashonaland East,7.849168825
